Análise do circuito

Função lógica: Circuito5Saida2=((((J nand K) nand ((J or K) or (L and M))) nand (((N nand P) nand (O nand (P nand Q))) nand ((O nand (P nand Q)) nand ((P nand Q) nand R)))) nand (((O nand (P nand Q)) nand ((P nand Q) nand p1)) nand ((A xor B) xor C)))

Tabela verdade:
+---+---+---+---+---+---+---+---+---+----+---+---+---+-----------------+
| J | K | L | M | N | P | O | Q | R | p1 | A | B | C | Circuito5Saida2 |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0  | 0 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0  | 1 | 0 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0  | 1 | 1 | 1 |        1        |
